# This data is provided "as is".  Guidewire does not guarantee its correctness or completeness, nor do we plan to update it.
01240,St Paul De Varax
01240,Marlieux
01240,Dompierre Sur Veyle
01240,Servas
01240,St Andre Le Bouchoux
01240,St Andre Sur Vieux Jonc
01240,St Germain Sur Renon
01240,La Chapelle Du Chatelard
01240,Lent
01240,Certines
01250,St Just
01250,Tossiat
01250,Villereversure
01250,Montagnat
01250,Corveissiat
01250,Drom
01250,Germagnat
01250,Grand Corent
01250,Hautecourt Romaneche
01250,Jasseron
01250,Journans
01250,Pouillat
01250,Ramasse
01250,Revonnas
01250,Rignat
01250,Romaneche
01250,Simandre Sur Suran
01250,Bohas
01250,Bohas Meyriat Rignat
01250,Ceyzeriat
01250,Chavannes Sur Suran
01250,Cize
01260,Sutrieu
01260,Vieu
01260,Virieu Le Petit
01260,Fitignieu
01260,Hotonnes
01260,Passin
01260,Ruffieu
01260,Songieu
01260,Le Grand Abergement
01260,Le Petit Abergement
01260,Lilignod
01260,Lochieu
01260,Lompnieu
01260,Luthezieu
01260,Belmont Luthezieu
01260,Brenaz
01260,Champagne En Valromey
01260,Charancin
01270,Verjon
01270,Villemotier
01270,Domsure
01270,Pirajoux
01270,Salavre
01270,Beaupont
01270,Coligny
01280,Moens
01280,Prevessin Moens
01290,St Jean Sur Veyle
01290,Cormoranche Sur Saone
01290,Crottet
01290,Cruzilles Les Mepillat
01290,Grieges
01290,Pont De Veyle
01290,St Andre D Huiriat
01290,Laiz
01290,Bey
01290,Biziat
01300,Virignin
01300,Murs Et Gelignieux
01300,Magnieu
01300,Marignieu
01300,Massignieu De Rives
01300,Nattages
01300,Contrevoz
01300,Conzieu
01300,Cuzieu
01300,Izieu
01300,Parves
01300,Peyrieu
01300,Premeyzel
01300,St Benoit
01300,St Bois
01300,St Champ
01300,St Germain Les Paroisses
01300,Ambleon
01300,Andert Et Condon
01300,Arbignieu
01300,Belley
01300,Bregnier Cordon
01300,Brens
01300,Chazey Bons
01300,Colomieu
01310,St Martin Le Chatel
01310,St Remy
01310,Montcet
01310,Montracol
01310,Confrancon
01310,Corgenon
01310,Curtafond
01310,Polliat
01310,Buellas
01320,St Nizier Le Desert
01320,Villette Sur Ain
01320,Crans
01320,Chalamont
01320,Chatenay
01320,Chatillon La Palud
01330,Ste Olive
01330,Versailleux
01330,Villars Les Dombes
01330,Lapeyrouse
01330,Le Plantay
01330,Amberieux En Dombes
01330,Birieux
01330,Bouligneux
01340,St Sulpice
01340,Montrevel En Bresse
01340,Malafretaz
01340,Marsonnas
01340,Cras Sur Reyssouze
01340,Etrez
01340,Foissiat
01340,Jayat
01340,St Didier D Aussiat
01340,Attignat
01340,Bereziat
01350,Vongnes
01350,Cressin Rochefort
01350,Culoz
01350,Flaxieu
01350,Pollieu
01350,Lavours
01350,Anglefort
01350,Beon
01350,Ceyzerieu
01360,La Valbonne
01360,Loyettes
01360,Balan
01360,Beligneux
01360,Bressolles
01360,Camp De La Valbonne
01370,Treffort Cuisiat
01370,Meillonnas
01370,Courmangoux
01370,Cuisiat
01370,Pressiat
01370,St Etienne Du Bois
01370,Beny
01380,Dommartin
01380,St Andre De Bage
01380,St Cyr Sur Menthon
01380,St Genis Sur Menthon
01380,Bage La Ville
01380,Bage Le Chatel
01380,Boissey
01390,St Jean De Thurigneux
01390,St Marcel
01390,Tramoyes
01390,Monthieux
01390,Mionnay
01390,Rance
01390,St Andre De Corcy
01390,Civrieux
01400,Sulignat
01400,Neuville Les Dames
01400,Condeissiat
01400,Dompierre Sur Chalaronne
01400,Romans
01400,Sandrans
01400,St Georges Sur Renon
01400,L Abergement Clemenciat
01400,Chanoz Chatenay
01400,Chatillon Sur Chalaronne
01410,Mijoux
01410,Lajoux
01410,Lelex
01410,Champfromier
01410,Chezery Forens
01420,Surjoux
01420,Corbonod
01420,Seyssel
01420,Lhopital
01420,Chanay
01430,St Martin Du Frene
01430,Vieu D Izenave
01430,Maillat
01430,Izenave
01430,Outriaz
01430,Peyriat
01430,Lantenay
01430,Ceignes
01430,Chevillard
01430,Condamine
01440,Viriat
01450,Merignat
01450,Poncin
01450,Serrieres Sur Ain
01450,St Alban
01450,Labalme
01450,Leyssard
01450,Bolozon
01450,Cerdon
01450,Challes
01460,Volognat
01460,Montreal La Cluse
01460,Nantua
01460,Nurieux Volognat
01460,Geovreissiat
01460,Port
01460,Brion
01470,Montagnieu
01470,Seillonnaz
01470,Serrieres De Briord
01470,Benonces
01470,Briord
01480,Villeneuve
01480,Messimy Sur Saone
01480,Fareins
01480,Frans
01480,Jassans Riottier
01480,Savigneux
01480,Ars Sur Formans
01480,Beauregard
01480,Chaleins
01500,St Maurice De Remens
01500,Douvres
01500,St Denis En Bugey
01500,Amberieu En Bugey
01500,Ambronay
01500,Ambutrix
01500,Bettant
01500,Chateau Gaillard
01510,St Martin De Bavel
01510,Talissieu
01510,Virieu Le Grand
01510,Ordonnaz
01510,Premillieu
01510,Pugieu
01510,Rossillon
01510,La Burbanche
01510,Armix
01510,Artemare
01510,Chavornay
01510,Cheignieu La Balme
01540,St Julien Sur Veyle
01540,Vonnas
01540,Perrex
01550,Farges
01550,Pougny
01550,Collonges
01560,St Jean Sur Reyssouze
01560,St Julien Sur Reyssouze
01560,St Nizier Le Bouchoux
01560,St Trivier De Courtes
01560,Vernoux
01560,Vescours
01560,Mantenay Montlin
01560,Cormoz
01560,Courtes
01560,Curciat Dongalon
01560,Servignat
01560,Lescheroux
01570,Vesines
01570,Manziat
01570,Feillens
01570,Asnieres Sur Saone
01580,Matafelon Granges
01580,Napt
01580,Granges
01580,Izernore
01580,Samognat
01580,Sonthonnax La Montagne
01590,Dortan
01590,Lavancia Epercy
01590,Chancia
01600,Ste Euphemie
01600,Toussieux
01600,Trevoux
01600,Massieux
01600,Miserieux
01600,Parcieux
01600,Reyrieux
01600,St Bernard
01600,St Didier De Formans
01620,St Laurent Sur Saone
01620,Crottet
01620,Replonges
01630,St Jean De Gonville
01630,Peron
01630,Sergy
01630,St Genis Pouilly
01630,Cern Site De Prevessin
01630,Challex
01640,St Jean Le Vieux
01640,Jujurieux
01640,L Abergement De Varey
01640,Boyeux St Jerome
01660,Vandeins
01660,Mezeriat
01660,Chaveyriat
01680,Marchamp
01680,Groslee
01680,Innimond
01680,Lhuis
01680,Lompnas
01700,St Maurice De Beynost
01700,Miribel
01700,Neyron
01700,Le Mas Rillier
01700,Les Echets
01700,Beynost
01710,Thoiry
01800,St Jean De Niost
01800,St Maurice De Gourdans
01800,Villieu Loyes Mollon
01800,Marfoz
01800,Meximieux
01800,Mollon
01800,Faramans
01800,Joyeux
01800,Perouges
01800,Rignieux Le Franc
01800,St Eloi
01800,Le Montellier
01800,Loyes
01800,Bourg St Christophe
01800,Charnoz Sur Ain
01810,Martignat
01810,Groissiat
01810,Bellignat
01851,Marboz
01960,Peronnas
01990,St Trivier Sur Moignans
01990,Relevant
01990,Baneins
01990,Chaneins
02000,Urcel
02000,Vaucelles Et Beffecourt
02000,Verneuil Sur Serre
02000,Mons En Laonnois
02000,Montbavin
02000,Merlieux Et Fouquerolles
02000,Molinchart
02000,Monampteuil
02000,Etouvelles
02000,Filain
02000,Pargny Filain
02000,Royaucourt Et Chailvet
02000,Laniscourt
02000,Laon
02000,Aulnois Sous Laon
02000,Barenton Bugny
02000,Barenton Cel
02000,Bourgignon Sous Montbavin
02000,Braye En Laonnois
02000,Chaillevois
02000,Chambry
02000,Chavignon
02000,Chery Les Pouilly
02000,Chevregny
02000,Chivy Les Etouvelles
02000,Clacy Et Thierret
02100,St Quentin
02100,Morcourt
02100,Neuville St Amand
02100,Omissy
02100,Essigny Le Petit
02100,Fayet
02100,Gricourt
02100,Harly
02100,Remaucourt
02100,Rouvroy
02100,Lesdins
02110,St Martin Riviere
02110,Vaux Andigny
02110,Montbrehain
02110,Montigny En Arrouaise
02110,Molain
02110,Croix Fonsommes
02110,Etaves Et Bocquiaux
02110,Fieulaine
02110,Fonsommes
02110,Fontaine Notre Dame
02110,Fontaine Uterte
02110,Grougis
02110,Premont
02110,Ramicourt
02110,Ribeauville
02110,Seboncourt
02110,Serain
02110,La Vallee Mulatre
02110,Aisonville Et Bernoville
02110,Beaurevoir
02110,Becquigny
02110,Bohain En Vermandois
02110,Brancourt Le Grand
02120,Tupigny
02120,Vadencourt
02120,Villers Les Guise
02120,Wiege Faty
02120,Macquigny
02120,Malzy
02120,Marly Gomont
02120,Monceau Sur Oise
02120,Noyales
02120,Crupilly
02120,Flavigny Le Grand Et Beau
02120,Grand Verly
02120,Guise
02120,Hauteville
02120,Proisy
02120,Proix
02120,Puisieux Et Clanlieu
02120,Romery
02120,Sains Richaumont
02120,Landifay Et Bertaignemont
02120,Le Herie La Vieville
02120,Lesquielles St Germain
02120,Longchamps
02120,Audigny
02120,Bernot
02120,Chigny
02120,Colonfay
02130,Vezilly
02130,Villeneuve Sur Fere
02130,Villers Agron Aiguizy
02130,Villers Sur Fere
02130,Mareuil En Dole
02130,Coulonges Cohan
02130,Courmont
02130,Cramaille
02130,Dravegny
02130,Fere En Tardenois
02130,Fresnes En Tardenois
02130,Goussancourt
02130,Roncheres
02130,Saponay
02130,Sergy
02130,Seringes Et Nesles
02130,Loupeigne
02130,Arcy Ste Restitue
02130,Beuvardes
02130,Branges
02130,Bruyeres Sur Fere
02130,Cierges
02130,Cohan
02140,St Pierre Les Franquevill
02140,Thenailles
02140,Vervins
02140,Voharies
02140,Voulpaix
02140,Marfontaine
02140,Nampcelles La Cour
02140,Dagny Lambercy
02140,Fontaine Les Vervins
02140,Franqueville
02140,Gercy
02140,Gronard
02140,Harcigny
02140,Hary
02140,Haution
02140,Houry
02140,Jeantes
02140,Plomion
02140,Prisces
02140,Rogny
02140,Rougeries
02140,St Gobert
02140,La Bouteille
02140,La Vallee Au Ble
02140,Laigny
02140,Landouzy La Cour
02140,Landouzy La Ville
02140,Le Sourd
02140,Leme
02140,Lugny
02140,Bancigny
02140,Braye En Thierache
02140,Burelles
02150,Nizy Le Comte
02150,Sissonne
02150,La Selve
02150,Lappion
02160,Vassogne
02160,Vauxcere
02160,Vendresse Beaulne
02160,Viel Arcy
02160,Villers En Prayeres
02160,Moulins
02160,Moussy Verneuil
02160,Muscourt
02160,Maizy
02160,Merval
02160,Meurival
02160,Oeuilly
02160,Craonne
02160,Craonnelle
02160,Cuiry Les Chaudardes
02160,Cuissy Et Geny
02160,Gernicourt
02160,Glennes
02160,Guyencourt
02160,Oulches La Vallee Foulon
02160,Paissy
02160,Pargnan
02160,Perles
02160,Pont Arcy
02160,Pontavert
02160,Revillon
02160,Roucy
02160,Serval
02160,Soupir
02160,Jumigny
02160,La Ville Aux Bois Les Pon
02160,Longueval Barbonval
02160,Barbonval
02160,Beaurieux
02160,Blanzy Les Fismes
02160,Bouffignereux
02160,Bourg Et Comin
02160,Chaudardes
02160,Concevreux
02170,Esqueheries
02170,Fontenelle
02170,Le Nouvion En Thierache
02170,Leschelles
02170,Barzy En Thierache
02190,Variscourt
02190,Menneville
02190,Neufchatel Sur Aisne
02190,Orainville
02190,Conde Sur Suippe
02190,Evergnicourt
02190,Guignicourt
02190,Pignicourt
02190,Prouvais
02190,Proviseux Et Plesnoy
02190,Juvincourt Et Damary
02190,La Malmaison
02190,Lor
02190,Aguilcourt
02190,Amifontaine
02190,Berry Au Bac
02190,Bertricourt
02200,Vaurezis
02200,Vauxbuin
02200,Venizel
02200,Villeneuve St Germain
02200,Mercin Et Vaux
02200,Missy Aux Bois
02200,Nampteuil Sous Muret
02200,Noyant Et Aconin
02200,Courmelles
02200,Cuisy En Almont
02200,Pasly
02200,Pernant
02200,Ploisy
02200,Pommiers
02200,Rozieres Sur Crise
02200,Saconin Et Breuil
02200,Septmonts
02200,Soissons
02200,Acy
02200,Ambrief
02200,Belleu
02200,Berzy Le Sec
02200,Billy Sur Aisne
02200,Buzancy
02200,Chacrise
02200,Chaudun
02210,St Remy Blanzy
02210,Vichel Nanteuil
02210,Vierzy
02210,Villemontoire
02210,Montgru St Hilaire
02210,Muret Et Crouttes
02210,Nanteuil Notre Dame
02210,Cugny Les Crouttes
02210,Droizy
02210,Grand Rozoy
02210,Grisolles
02210,Hartennes Et Taux
02210,Oulchy La Ville
02210,Oulchy Le Chateau
02210,Parcy Et Tigny
02210,Rocourt St Martin
02210,Rozet St Albin
02210,La Croix Sur Ourcq
02210,Latilly
02210,Launoy
02210,Le Plessier Huleu
02210,Armentieres Sur Ourcq
02210,Beugneux
02210,Billy Sur Ourcq
02210,Brecy
02210,Breny
02210,Chouy
02210,Coincy
02220,St Mard
02220,St Thibaut
02220,Tannieres
02220,Vasseny
02220,Vauxtin
02220,Ville Savoye
02220,Mont Notre Dame
02220,Mont St Martin
02220,Courcelles Sur Vesles
02220,Couvrelles
02220,Cuiry Housse
02220,Cys La Commune
02220,Dhuizel
02220,Jouaignes
02220,Paars
02220,Quincy Sous Le Mont
02220,Serches
02220,Sermoise
02220,Lesges
02220,Lhuys
02220,Lime
02220,Maast Et Violaine
02220,Augy
02220,Bazoches Sur Vesles
02220,Braine
02220,Brenelle
02220,Bruys
02220,Cerseuil
02220,Chery Chartreuve
02220,Ciry Salsogne
02230,Fresnoy Le Grand
02240,Surfontaine
02240,Villers Le Sec
02240,Mezieres Sur Oise
02240,Itancourt
02240,Parpeville
02240,Pleine Selve
02240,Regny
02240,Renansart
02240,Ribemont
02240,Sery Les Mezieres
02240,Sissy
02240,Alaincourt
02240,Berthenicourt
02240,Brissay Choigny
02240,Brissy Hamegicourt
02240,Cerizy
02240,Chatillon Sur Oise
02250,St Pierremont
02250,Tavaux Et Pontsericourt
02250,Thiernu
02250,Toulis Et Attencourt
02250,Voyenne
02250,Montigny Le Franc
02250,Montigny Sous Marle
02250,Marcy Sous Marle
02250,Marle
02250,Erlon
02250,Housset
02250,La Neuville Bosmont
02250,La Neuville Housset
02250,Autremencourt
02250,Berlancourt
02250,Bosmont Sur Serre
02250,Chevennes
02250,Cilly
02260,Englancourt
02260,Erloy
02260,Froidestrees
02260,Gergny
02260,Papleux
02260,Rocquigny
02260,Sommeron
02260,St Algis
02260,La Capelle
02260,La Flamengrie
02260,Lerzy
02260,Clairfontaine
02270,Montigny Sur Crecy
02270,Mortiers
02270,Mesbrecourt Richecourt
02270,Monceau Le Neuf Et Faucou
02270,Monceau Les Leups
02270,Nouvion Et Catillon
02270,Couvron Et Aumencourt
02270,Crecy Sur Serre
02270,Dercy
02270,Froidmont Cohartille
02270,Pargny Les Bois
02270,Pont A Bucy
02270,Pouilly Sur Serre
02270,Remies
02270,Sons Et Roncheres
02270,La Ferte Chevresis
02270,Assis Sur Serre
02270,Barenton Sur Serre
02270,Bois Les Pargny
02270,Chalandry
02270,Chatillon Les Sons
02270,Chevresis Monceau
02290,Tartiers
02290,Vassens
02290,Vezaponin
02290,Vic Sur Aisne
02290,Montigny Lengrain
02290,Morsain
02290,Nouvron Vingre
02290,Osly Courtil
02290,Epagny
02290,Fontenoy
02290,Ressons Le Long
02290,St Bandry
02290,St Christophe A Berry
02290,Ambleny
02290,Bagneux
02290,Berny Riviere
02290,Bieuxy
02300,St Paul Aux Bois
02300,Trosly Loire
02300,Ugny Le Gay
02300,Villequier Aumont
02300,Viry Noureuil
02300,Manicamp
02300,Marest Dampcourt
02300,Neuflieux
02300,Ognes
02300,Guivry
02300,Guny
02300,Pierremande
02300,Quierzy
02300,Selens
02300,Sinceny
02300,St Aubin
02300,La Neuville En Beine
02300,Lombray
02300,Abbecourt
02300,Audignicourt
02300,Autreville
02300,Beaumont En Beine
02300,Besme
02300,Bethancourt En Vaux
02300,Bichancourt
02300,Blerancourt
02300,Bourguignon Sous Coucy
02300,Caillouel Crepigny
02300,Camelin
02300,Caumont
02300,Chauny
02300,Commenchon
02310,Villiers St Denis
02310,Montreuil Aux Lions
02310,Nogent L Artaud
02310,Coupru
02310,Crouttes Sur Marne
02310,Domptin
02310,Pavant
02310,Romeny Sur Marne
02310,Saulchery
02310,Bezu Le Guery
02310,Charly
02320,Suzy
02320,Vaudesson
02320,Vauxaillon
02320,Wissignicourt
02320,Faucoucourt
02320,Pinon
02320,Premontre
02320,Lizy
02320,Allemant
02320,Anizy Le Chateau
02320,Brancourt En Laonnois
02320,Cessieres
02330,Monthurel
02330,Montigny Les Conde
02330,Montlevon
02330,Conde En Brie
02330,Connigis
02330,Courboin
02330,Pargny La Dhuys
02330,St Agnan
02330,St Eugene
02330,La Chapelle Monthodon
02330,Artonges
02330,Baulne En Brie
02330,Celles Les Conde
02340,Ste Genevieve
02340,Vigneux Hocquet
02340,Vincy Reuil Et Magny
02340,Montcornet
02340,Montloue
02340,Noircourt
02340,Dizy Le Gros
02340,Renneval
02340,Soize
02340,La Ville Aux Bois Les Diz
02340,Le Thuel
02340,Lislet
02340,Agnicourt Et Sechelles
02340,Berlise
02340,Chaourse
02340,Clermont Les Fermes
02350,Ste Preuve
02350,Vesles Et Caumont
02350,Marchais
02350,Missy Les Pierrepont
02350,Cuirieux
02350,Ebouleau
02350,Gizy
02350,Goudelancourt Les Pierrep
02350,Grandlup Et Fay
02350,Pierrepont
02350,Liesse Notre Dame
02350,Machecourt
02350,Boncourt
02350,Bucy Les Pierrepont
02350,Chivres En Laonnois
02360,Mont St Jean
02360,Morgny En Thierache
02360,Cuiry Les Iviers
02360,Dohis
02360,Dolignon
02360,Grandrieux
02360,Iviers
02360,Parfondeval
02360,Raillimont
02360,Resigny
02360,Rouvroy Sur Serre
02360,Rozoy Sur Serre
02360,St Clement
02360,Les Autels
02360,Archon
02360,Brunehamel
02360,Chery Les Rozoy
02360,Coingt
02370,Vailly Sur Aisne
02370,Conde Sur Aisne
02370,Jouy
02370,Ostel
02370,Presles Et Boves
02370,Aizy Jouy
02370,Celles Sur Aisne
02370,Chassemy
02370,Chavonne
02380,Verneuil Sous Coucy
02380,Coucy La Ville
02380,Coucy Le Chateau Auffriqu
02380,Crecy Au Mont
02380,Fresnes
02380,Pont St Mard
02380,Quincy Basse
02380,Jumencourt
02380,Landricourt
02380,Leuilly Sous Coucy
02380,Bassoles Aulers
02390,Thenelles
02390,Mont D Origny
02390,Neuvillette
02390,Origny Ste Benoite
02400,Verdilly
02400,Mont St Pere
02400,Monthiers
02400,Nesles La Montagne
02400,Nogentel
02400,Epaux Bezu
02400,Epieds
02400,Essomes Sur Marne
02400,Etampes Sur Marne
02400,Etrepilly
02400,Gland
02400,Lucy Le Bocage
02400,Azy Sur Marne
02400,Belleau
02400,Bezu St Germain
02400,Blesmes
02400,Bonneil
02400,Bonnesvalyn
02400,Bouresches
02400,Charteves
02400,Chateau Thierry
02400,Chierry
02410,St Nicolas Aux Bois
02410,Septvaux
02410,St Gobain
02420,Vendhuile
02420,Villeret
02420,Magny La Fosse
02420,Nauroy
02420,Estrees
02420,Gouy
02420,Hargicourt
02420,Joncourt
02420,Sequehart
02420,Le Catelet
02420,Le Haucourt
02420,Lempire
02420,Levergies
02420,Aubencheul Aux Bois
02420,Bellenglise
02420,Bellicourt
02420,Bony
02430,Gauchy
02440,Montescourt Lizerol
02440,Gibercourt
02440,Hinacourt
02440,Issac
02440,Remigny
02440,Ly Fontaine
02440,Benay
02440,Clastres
02450,Oisy
02450,Dorengt
02450,Fesmy-le-sart
02450,La Neuville Les Dorengt
02450,Lavaqueresse
02450,Le Sart
02450,Bergues Sur Sambre
02450,Boue
02460,Troesnes
02460,Mosloy
02460,Silly La Poterie
02460,La Ferte Milon
02470,Monnes
02470,Macogny
02470,Marizy St Mard
02470,Marizy Ste Genevieve
02470,Neuilly St Front
02470,Dammard
02470,Passy En Valois
02470,Priez
02470,Sommelans
02480,Ollezy
02480,Cugny
02480,Dury
02480,Happencourt
02480,Pithon
02480,Sommette Eaucourt
02480,Jussy
02480,Annois
02480,Artemps
02480,Bray St Christophe
02490,Trefcon
02490,Vendelles
02490,Vermand
02490,Maissemy
02490,Jeancourt
02490,Pontru
02490,Pontruet
02490,Le Verguier
02490,Attilly
02490,Caulaincourt
02500,Wimy
02500,Martigny
02500,Mondrepuis
02500,Neuve Maison
02500,Ohis
02500,Effry
02500,Eparcy
02500,Hirson
02500,La Herie
02500,Leuze
02500,Logny Les Aubenton
02500,Luzoir
02500,Any Martin Rieux
02500,Aubenton
02500,Beaume
02500,Besmont
02500,Bucilly
02500,Buire
02510,Venerolles
02510,Etreux
02510,Hannapes
02510,Iron
02520,Flavy Le Martel
02540,Vendieres
02540,Viels Maisons
02540,Viffort
02540,Montfaucon
02540,Marchais En Brie
02540,Fontenelle En Brie
02540,Rozoy Bellevalle
02540,L Epine Aux Bois
02540,Celle Sous Montmirail
02550,Origny En Thierache
02570,Essises
02570,La Chapelle Sur Chezy
02570,Chezy Sur Marne
02580,Etreaupont
02580,Sorbais
02580,Autreppes
02590,Vaux En Vermandois
02590,Villers St Christophe
02590,Douchy
02590,Etreillers
02590,Fluquieres
02590,Foreste
02590,Germaine
02590,Roupy
02590,Savy
02590,Lanchy
02590,Aubigny Aux Kaisnes
02590,Beauvois En Vermandois
02600,St Pierre Aigle
02600,Taillefontaine
02600,Villers Cotterets
02600,Villers Helon
02600,Vivieres
02600,Montgobert
02600,Mortefontaine
02600,Noroy Sur Ourcq
02600,Oigny En Valois
02600,Corcy
02600,Coyolles
02600,Cutry
02600,Dampleux
02600,Dommiers
02600,Faverolles
02600,Fleury
02600,Haramont
02600,Pisseleux
02600,Puiseux En Retz
02600,Retheuil
02600,Soucy
02600,Largny Sur Automne
02600,Laversine
02600,Longpont
02600,Louatre
02600,Ancienville
02600,Coeuvres Et Valsery
02610,Moy De L Aisne
02620,Buironfosse
02630,Wassigny
02630,Mennevret
02630,Petit Verly
02640,St Simon
02640,Tugny Et Pont
02650,Mezy Moulins
02650,Crezancy
02650,Fossoy
02670,Folembray
02670,Champs
02680,Contescourt
02680,Dallon
02680,Fontaine Les Clercs
02680,Grugies
02680,Castres
02690,Urvillers
02690,Essigny Le Grand
02700,Tergnier
02700,Vouel
02700,Mennessis
02700,Condren
02700,Deuillet
02700,Fargniers
02700,Frieres Faillouel
02700,Quessy
02700,Servais
02700,Liez
02700,Amigny Rouy
02700,Barisis
02720,Marcy
02720,Mesnil St Laurent
02720,Homblieres
02760,Francilly Selency
02760,Holnon
02790,Seraucourt Le Grand
02800,Travecy
02800,Vendeuil
02800,Versigny
02800,Mayot
02800,Nouvion Le Comte
02800,Courbes
02800,Danizy
02800,Fressancourt
02800,Rogecourt
02800,La Fere
02800,Achery
02800,Andelain
02800,Anguilcourt Le Sart
02800,Beautor
02800,Bertaucourt Epourdon
02800,Charmes
02810,Torcy En Valois
02810,Veuilly La Poterie
02810,Montigny L Allier
02810,Marigny En Orxois
02810,Courchamps
02810,Gandelu
02810,Hautevesnes
02810,St Gengoulph
02810,Licy Clignon
02810,Brumetz
02810,Bussiares
02810,Chezy En Orxois
02820,St Thomas
02820,Ste Croix
02820,Montaigu
02820,Mauregny En Haye
02820,Corbeny
02820,Courtrizy Et Fussigny
02820,Goudelancourt Les Berrieu
02820,St Erme Outre Et Ramecour
02820,Aizelles
02820,Aubigny En Laonnois
02820,Berrieux
02830,St Michel
02830,Watigny
02840,Veslud
02840,Monceau Le Waast
02840,Coucy Les Eppes
02840,Eppes
02840,Festieux
02840,Parfondru
02840,Samoussy
02840,Athies Sous Laon
02850,Trelou Sur Marne
02850,Courtemont Varennes
02850,Jaulgonne
02850,Passy Sur Marne
02850,Reuilly Sauvigny
02850,Le Charmel
02850,Barzy Sur Marne
02860,Trucy
02860,Vorges
02860,Montchalons
02860,Monthenault
02860,Martigny Courpierre
02860,Neuville Sur Ailette
02860,Nouvion Le Vineux
02860,Orgeval
02860,Pancy Courtecon
02860,Ployart Vaurseine
02860,Presles Et Thierny
02860,Laval En Laonnois
02860,Lierval
02860,Arrancy
02860,Bievres
02860,Bouconville Vauclair
02860,Bruyeres Et Montberault
02860,Cerny En Laonnois
02860,Chamouille
02860,Cheret
02860,Chermizy Ailles
02860,Colligis Crandelain
02870,Vivaise
02870,Crepy
02870,Fourdrain
02870,Besny Et Loizy
02870,Brie
02870,Bucy Les Cerny
02870,Cerny Les Bucy
02880,Terny Sorny
02880,Vregny
02880,Vuillery
02880,Margival
02880,Missy Sur Aisne
02880,Nanteuil La Fosse
02880,Neuville Sur Margival
02880,Crouy
02880,Cuffies
02880,Sancy Les Cheminots
02880,Juvigny
02880,Laffaux
02880,Leury
02880,Braye
02880,Bucy Le Long
02880,Chavigny
02880,Chivres Val
02880,Clamecy
03000,Montilly
03000,Moulins
03000,Neuvy
03000,Coulandon
03000,Avermes
03000,Bressolles
03100,Montlucon
03110,St Pont
03110,St Remy En Rollat
03110,Vendat
03110,Escurolles
03110,Espinasse Vozelle
03110,Serbannes
03110,St Didier La Foret
03110,Brout Vernet
03110,Charmeil
03110,Cognat Lyonne
03120,St Prix
03120,Droiturier
03120,Isserpent
03120,Perigny
03120,Servilly
03120,St Christophe
03120,Lapalisse
03120,Le Breuil
03120,Andelaroche
03120,Barrais Bussolles
03120,Billezois
03130,St Leger Sur Vouzance
03130,Montaiguet En Forez
03130,Montcombroux Les Mines
03130,Neuilly En Donjon
